Date_id,Date_day
1279,2018-01-08
1280,2018-01-09
1281,2018-01-10
1282,2018-01-11
1283,2018-01-12
1284,2018-01-16
1285,2018-01-17
1286,2018-01-18
1287,2018-01-19
1288,2018-01-22
1289,2018-01-23
1290,2018-01-24
1291,2018-01-25
1292,2018-01-26
1293,2018-01-29
1294,2018-01-30
1295,2018-01-31
1296,2018-02-01
1297,2018-02-02
1298,2018-02-05
1299,2018-02-06
1300,2018-02-07
1301,2018-02-08
1302,2018-02-09
1303,2018-02-12
1304,2018-02-13
1305,2018-02-14
1306,2018-02-15
1307,2018-02-16
1308,2018-02-20
1309,2018-02-21
1310,2018-02-22
1311,2018-02-23
1312,2018-02-26
1313,2018-02-27
1314,2018-02-28
1315,2018-03-01
1316,2018-03-02
1317,2018-03-05
1318,2018-03-06
1319,2018-03-07
1320,2018-03-08
1321,2018-03-09
1322,2018-03-12
1323,2018-03-13
1324,2018-03-14
1325,2018-03-15
1326,2018-03-16
1327,2018-03-19
1328,2018-03-20
1329,2018-03-21
1330,2018-03-22
1331,2018-03-23
1332,2018-03-26
1333,2018-03-27
1334,2018-03-28
1335,2018-03-29
1336,2018-04-02
1337,2018-04-03
1338,2018-04-04
1339,2018-04-05
1340,2018-04-06
1341,2018-04-09
1342,2018-04-10
1343,2018-04-11
1344,2018-04-12
1345,2018-04-13
1346,2018-04-16
1347,2018-04-17
1348,2018-04-18
1349,2018-04-19
1350,2018-04-20
1351,2018-04-23
1352,2018-04-24
1353,2018-04-25
1354,2018-04-26
1355,2018-04-27
1356,2018-04-30
1357,2018-05-01
1358,2018-05-02
1359,2018-05-03
1360,2018-05-04
1361,2018-05-07
1362,2018-05-08
1363,2018-05-09
1364,2018-05-10
1365,2018-05-11
1366,2018-05-14
1367,2018-05-15
1368,2018-05-16
1369,2018-05-17
1370,2018-05-18
1371,2018-05-21
1372,2018-05-22
1373,2018-05-23
1374,2018-05-24
1375,2018-05-25
1376,2018-05-29
1377,2018-05-30
1378,2018-05-31
1379,2018-06-01
1380,2018-06-04
1381,2018-06-05
1382,2018-06-06
1383,2018-06-07
1384,2018-06-08
1385,2018-06-11
1386,2018-06-12
1387,2018-06-13
1388,2018-06-14
1389,2018-06-15
1390,2018-06-18
1391,2018-06-19
1392,2018-06-20
1393,2018-06-21
1394,2018-06-22
1395,2018-06-25
1396,2018-06-26
1397,2018-06-27
1398,2018-06-28
1399,2018-06-29
1400,2018-07-02
1401,2018-07-03
1402,2018-07-05
1403,2018-07-06
1404,2018-07-09
1405,2018-07-10
1406,2018-07-11
1407,2018-07-12
1408,2018-07-13
1409,2018-07-16
1410,2018-07-17
1411,2018-07-18
1412,2018-07-19
1413,2018-07-20
1414,2018-07-23
1415,2018-07-24
1416,2018-07-25
1417,2018-07-26
1418,2018-07-27
1419,2018-07-30
1420,2018-07-31
1421,2018-08-01
1422,2018-08-02
1423,2018-08-03
1424,2018-08-06
1425,2018-08-07
1426,2018-08-08
